"varve_century"	"no_of_layers"
1	21
2	22
3	19
4	22
5	19
6	15
7	10
8	3
9	2
10	12
11	3
12	4
13	4
14	9
15	7
16	6
17	6
18	16
19	12
20	10
21	16
22	14
23	12
24	11
25	6
26	1
27	11
28	4
29	10
30	12
31	8
32	5
33	4
34	1
35	6
36	5
37	0
38	4
39	24
40	12
41	NA
42	15
43	30
44	25
45	16
46	27
47	4
48	5
49	9
50	8
51	9
52	1
53	2
54	1
55	5
56	4
57	5
58	5
59	6
60	5
61	3
62	4
63	9
64	6
65	2
66	7
67	4
68	11
69	6
70	6
71	4
72	2
73	5
74	6
75	1
76	2
77	6
78	9
79	6
80	14
81	5
82	7
83	12
84	8
85	7
86	10
87	6
88	10
89	2
90	5
91	5
92	4
93	1
